认证机构管理人员,20-40万/年
高层管理人员,25-35万/年
射线评片人员,8千-1万
生产管理人员,8千-1万
认证机构管理人员,20-40万/年
水处理运维人员,6-9千
电梯维保人员,4.5-6千
法务管理人员,1-1.7万
轮机管道质检人员,8千-1.5万
护理工作人员转行,6千-1万
运维人员（烟气监控设备）,6千-1万
高铁巡查人员/包食宿/五险一金,5-8千·13薪
认证机构管理人员,20-40万/年
动车工作人员/五险一金/包吃住,6-8千
高铁工作人员员五险一金/包吃住,5.5-8.5千·13薪
铁路跟车人员+五险一金/上几休几,5-8千·13薪
高层管理人员,25-35万/年
园区医务人员,4.5-6千
认证机构管理人员,20-40万/年
铁路站内工作人员/五险一金,6-9千·13薪
高铁工作人员/五险一金/管吃住,6-8千
山航销售人员,4-8千
高铁工作人员员五险一金/包吃住,5.5-8.5千·13薪
高铁站内人员+五险/包食宿,5-8千·13薪
高速公路养护项目管理人员,9千-1.3万
高铁工作人员/五险一金/包吃住,6-8千
IDC运维人员,8千-1万
铁路跟车人员+五险一金/上几休几,6千-1万·13薪
水处理运维人员,6-9千
高铁工作人员/五险一金/包吃住,6-8千
销售人员/销售管理人员,5千-1万
高铁乘务人员+五险一金/包食宿,5-8千·13薪
高速公路机电负责人/管理人员,5-8千
高铁工作人员/五险一金/包吃住,6-8千
销售人员/销售管理人员,5千-1万
高铁乘务人员+五险一金/包食宿,6千-1万·13薪
化工生产管理人员,20-30万/年
高铁工作人员/五险一金/管吃住,6-8千
销售人员/销售管理人员,5千-1万
高铁乘务人员+五险一金/包食宿,6千-1万·13薪
射线评片人员,8千-1万
高铁工作人员/五险一金/管吃住,6-8千
销售人员/销售管理人员,5千-1万
高铁站内人员+五险/包食宿,6-9千·13薪
健康行业推广人员,8千-1.6万
高铁工作人员/五险一金/包吃住,6-8千
销售人员/销售管理人员,5千-1万
高铁站内人员+包食宿/五险,6千-1万·13薪
轮机管道质检人员,8千-1.5万
高铁工作人员/五险一金/管吃住,6-8千
民航 NDT无损检测人员,1.2-2万
高铁工作人员/五险一金/管吃住,6-8千
高铁乘务人员+五险一金/包食宿,6千-1万·13薪
销售人员/销售管理人员,5千-1万
列车服务人员/五险一金/上几休几,6-8千
高铁工作人员/五险一金/包吃住,6-8千
铁路跟车人员+五险一金/上几休几,5-8千·13薪
销售人员/销售管理人员,5千-1万
金融综合工作人员（机关编外）,8千-1万
高铁工作人员/五险一金/管吃住,6-8千
高铁站内人员+五险/包食宿,6-9千·13薪
专题技术人员,8千-1.6万
安全检查（安全隐患排查）服务人员,5-6千
高铁工作人员/五险一金/包吃住,6-8千
高铁站内人员+包食宿/五险,6千-1万·13薪
医美中心护士及宣教人员组长,1.2-1.8万
储备人员,4-8千
高铁工作人员/五险一金/包吃住,6-8千
高铁站内人员+五险/包食宿,5-8千·13薪
招商电话拜访人员,4-5千
医美中心护士及宣教人员组长,1.2-1.8万
专题技术人员,8千-1.6万
储备人员,4-8千
高铁工作人员/五险一金/包吃住,6-8千
列车服务人员/五险一金/上几休几,6-8千
安保人员,4-5千
储备人员,4-8千
高铁工作人员/五险一金/包吃住,6-8千
列车服务人员/五险一金/上几休几,6-8千
招商电话拜访人员,4-5千
安保人员,3千及以下
高铁工作人员/五险一金/包吃住,6-8千
会务接待人员,5-6千
物流仓库人员,4-6千
招聘专案人员,6千-1万
高铁工作人员/五险一金/包吃住,6-8千
视频剪辑人员,5-7千·13薪
高铁工作人员/五险一金/包吃住,6-8千
铁路随车人员+上几休几,6千-1万·13薪
高铁工作人员/五险一金/包吃住,6-8千
生产领班（现场人员管理）,6千-1万·13薪
退伍军人（生产管理方向）(J10045),5-8千
高铁乘务人员+五险一金/包食宿,5-8千·13薪
高铁工作人员/五险一金/包吃住,6-8千
酒吧工作人员会调酒师，咖啡,4-8千
现场管理员,7-9千
铁路跟车人员+五险一金/上几休几,5-8千·13薪
高铁工作人员/五险一金/包吃住,6-8千
赛格物业招管理员,6-8千
营销人员,6-8千
铁路随车人员+上几休几,5-9千·13薪
高铁工作人员/五险一金/包吃住,6-8千
安保人员,3千及以下
后勤保障岗（征兵入伍）,1.2-1.2万
高铁跟车人员+包食宿/五险一金,6-9千·13薪
高铁工作人员/五险一金/包吃住,6-8千
公路养护带班人员,5-6千
通信监理人员,4-6千
高铁跟车人员+包食宿/五险一金,6-9千·13薪
高铁工作人员/五险一金/包吃住,6-8千
列车服务人员/五险一金/上几休几,6-8千
高铁工作人员/五险一金/包吃住,6-8千
寻 工程类中/高级职称 技术人员,4.5-8.5千
现场监理人员,2.5-5千
物业工程人员,4-5千
高铁工作人员/五险一金/包吃住,6-8千
养护安全巡查员,5-7千
列车服务人员/五险一金/上几休几,6-8千
销售人员,5千-1万
高铁工作人员/五险一金/包吃住,6-8千
质量保证人员（QA）,4-8千
地铁安检人员/五险一金/上几休几,6-8千
工程巡查员,8千-1.2万·13薪
高铁工作人员/五险一金/包吃住,6-8千
储备人员,5-8千
